season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,1896,Bronze,GRE,Greece,Nikolaos MORAKIS,1896 Athens,Shooting,Men's,25m army pistol
Summer,1896,Gold,GRE,Greece,Joannis PHRANGOUDIS,1896 Athens,Shooting,Men's,25m rapid fire pistol
Summer,1896,Silver,GRE,Greece,Georgios ORPHANIDIS,1896 Athens,Shooting,Men's,25m rapid fire pistol
Summer,1896,Bronze,DEN,Denmark,Holger NIELSEN,1896 Athens,Shooting,Men's,25m rapid fire pistol
Summer,1896,Gold,USA,United States,Sumner PAINE,1896 Athens,Shooting,Men's,50m pistol
Summer,1896,Silver,DEN,Denmark,Holger NIELSEN,1896 Athens,Shooting,Men's,50m pistol
Summer,1896,Bronze,GRE,Greece,Joannis PHRANGOUDIS,1896 Athens,Shooting,Men's,50m pistol
Summer,1896,Gold,GRE,Greece,Pantelis KARASEVDAS,1896 Athens,Shooting,Men's,"army rifle, 200m"
Summer,1896,Silver,GRE,Greece,Pavlos PAVLIDIS,1896 Athens,Shooting,Men's,"army rifle, 200m"
Summer,1896,Bronze,GRE,Greece,Nicolaos TRIKUPIS,1896 Athens,Shooting,Men's,"army rifle, 200m"
Summer,1896,Gold,GRE,Greece,Georgios ORPHANIDIS,1896 Athens,Shooting,Men's,"army rifle, 300m"
Summer,1896,Silver,GRE,Greece,Joannis PHRANGOUDIS,1896 Athens,Shooting,Men's,"army rifle, 300m"
Summer,1896,Bronze,DEN,Denmark,Viggo JENSEN,1896 Athens,Shooting,Men's,"army rifle, 300m"
Summer,1896,Gold,HUN,Hungary,Alfred HAJOS,1896 Athens,Swimming,Men's,100m freestyle
Summer,1896,Silver,AUT,Austria,Otto HERSCHMANN,1896 Athens,Swimming,Men's,100m freestyle
Summer,1896,Gold,GRE,Greece,Ioannis MALOKINIS,1896 Athens,Swimming,Men's,100m freestyle for sailors
Summer,1896,Silver,GRE,Greece,Spiridon CHASAPIS,1896 Athens,Swimming,Men's,100m freestyle for sailors
Summer,1896,Bronze,GRE,Greece,Dimitrios DRIVAS,1896 Athens,Swimming,Men's,100m freestyle for sailors
Summer,1896,Gold,AUT,Austria,Paul NEUMANN,1896 Athens,Swimming,Men's,500m freestyle
Summer,1896,Silver,GRE,Greece,Antonios PEPANOS,1896 Athens,Swimming,Men's,500m freestyle
Summer,1896,Bronze,GRE,Greece,Efstathios CHOROPHAS,1896 Athens,Swimming,Men's,500m freestyle
Summer,1896,Gold,HUN,Hungary,Alfred HAJOS,1896 Athens,Swimming,Men's,1200m freestyle
Summer,1896,Silver,GRE,Greece,Joannis ANDREOU,1896 Athens,Swimming,Men's,1200m freestyle
Summer,1896,Gold,GBR,Great Britain,John BOLAND,1896 Athens,Tennis,Men's,singles
Summer,1896,Silver,GRE,Greece,Dionysios KASDAGLIS,1896 Athens,Tennis,Men's,singles
Summer,1896,Bronze,GRE,Greece,Konstantinos PASPATIS,1896 Athens,Tennis,Men's,singles
Summer,1896,Bronze,HUN,Hungary,Momcsillo TAPAVICZA,1896 Athens,Tennis,Men's,singles
Summer,1896,Gold,XXB,Mixed Team,"Friedrich TRAUN (GER), John BOLAND (GBR)",1896 Athens,Tennis,Men's,doubles
Summer,1896,Silver,GRE,Greece,"Demetrios PETROKOKKINOS, Dionysios KASDAGLIS",1896 Athens,Tennis,Men's,doubles
Summer,1896,Bronze,XXB,Mixed Team,"George Stuart ROBERTSON (GBR), Edwin FLACK (AUS)",1896 Athens,Tennis,Men's,doubles
Summer,1896,Gold,GBR,Great Britain,Launceston ELLIOTT,1896 Athens,Weightlifting,Men's,heavyweight - one hand lift
Summer,1896,Silver,DEN,Denmark,Viggo JENSEN,1896 Athens,Weightlifting,Men's,heavyweight - one hand lift
Summer,1896,Bronze,GRE,Greece,Alexandros NIKOLOPOULOS,1896 Athens,Weightlifting,Men's,heavyweight - one hand lift
Summer,1896,Gold,DEN,Denmark,Viggo JENSEN,1896 Athens,Weightlifting,Men's,heavyweight - two hand lift
Summer,1896,Silver,GBR,Great Britain,Launceston ELLIOTT,1896 Athens,Weightlifting,Men's,heavyweight - two hand lift
Summer,1896,Bronze,GRE,Greece,Sotirios VERSIS,1896 Athens,Weightlifting,Men's,heavyweight - two hand lift
Summer,1896,Gold,GER,Germany,Carl SCHUMANN,1896 Athens,Wrestling Greco-Roman,Men's,open event
Summer,1896,Silver,GRE,Greece,Georgios TSITAS,1896 Athens,Wrestling Greco-Roman,Men's,open event
Summer,1896,Bronze,GRE,Greece,Stephanos CHRISTOPOULOS,1896 Athens,Wrestling Greco-Roman,Men's,open event
Summer,1900,Gold,BEL,Belgium,Hubert VAN INNIS,1900 Paris,Archery,Men's,"au chapelet, 33m"
Summer,1900,Silver,FRA,France,Victor THIBAUD,1900 Paris,Archery,Men's,"au chapelet, 33m"
Summer,1900,Bronze,FRA,France,Charles Frédéric PETIT,1900 Paris,Archery,Men's,"au chapelet, 33m"
Summer,1900,Gold,FRA,France,Eugène MOUGIN,1900 Paris,Archery,Men's,"au chapelet, 50m"
Summer,1900,Silver,FRA,France,Henri HELLE,1900 Paris,Archery,Men's,"au chapelet, 50m"
Summer,1900,Bronze,FRA,France,Emile MERCIER,1900 Paris,Archery,Men's,"au chapelet, 50m"
Summer,1900,Gold,BEL,Belgium,Hubert VAN INNIS,1900 Paris,Archery,Men's,"au cordon doré, 33m"
Summer,1900,Silver,FRA,France,Victor THIBAUD,1900 Paris,Archery,Men's,"au cordon doré, 33m"
Summer,1900,Bronze,FRA,France,Charles Frédéric PETIT,1900 Paris,Archery,Men's,"au cordon doré, 33m"
Summer,1900,Gold,FRA,France,Henri HEROUIN,1900 Paris,Archery,Men's,"au cordon doré, 50m"
Summer,1900,Silver,BEL,Belgium,Hubert VAN INNIS,1900 Paris,Archery,Men's,"au cordon doré, 50m"
Summer,1900,Bronze,FRA,France,Emile FISSEUX,1900 Paris,Archery,Men's,"au cordon doré, 50m"
Summer,1900,Gold,BEL,Belgium,Emmanuel FOULON,1900 Paris,Archery,Men's,sur la perche à la herse
Summer,1900,Silver,BEL,Belgium,Jr. DRUART,1900 Paris,Archery,Men's,sur la perche à la herse
Summer,1900,Silver,FRA,France,Auguste SERRURIER,1900 Paris,Archery,Men's,sur la perche à la herse
Summer,1900,Gold,FRA,France,Emile GRUMIAUX,1900 Paris,Archery,Men's,sur la perche à la pyramide
Summer,1900,Silver,FRA,France,Auguste SERRURIER,1900 Paris,Archery,Men's,sur la perche à la pyramide
Summer,1900,Bronze,BEL,Belgium,Louis GLINEUX,1900 Paris,Archery,Men's,sur la perche à la pyramide
Summer,1900,Gold,FRA,France,Henri Herouin,1900 Paris,Archery,Men's,Championnat Du Monde
Summer,1900,Silver,BEL,Belgium,Hubert Van Innis,1900 Paris,Archery,Men's,Championnat Du Monde
Summer,1900,Gold,USA,United States,Alvin KRAENZLEIN,1900 Paris,Athletics,Men's,60m
Summer,1900,Silver,USA,United States,Walter B. John TEWKSBURY,1900 Paris,Athletics,Men's,60m
Summer,1900,Bronze,AUS,Australia,Stanley ROWLEY,1900 Paris,Athletics,Men's,60m
Summer,1900,Gold,USA,United States,Francis JARVIS,1900 Paris,Athletics,Men's,100m
Summer,1900,Silver,USA,United States,Walter B. John TEWKSBURY,1900 Paris,Athletics,Men's,100m
Summer,1900,Bronze,AUS,Australia,Stanley ROWLEY,1900 Paris,Athletics,Men's,100m
Summer,1900,Gold,USA,United States,Walter B. John TEWKSBURY,1900 Paris,Athletics,Men's,200m
Summer,1900,Silver,IND,India,Norman PRITCHARD,1900 Paris,Athletics,Men's,200m
Summer,1900,Bronze,AUS,Australia,Stanley ROWLEY,1900 Paris,Athletics,Men's,200m
Summer,1900,Gold,USA,United States,Maxwell W.Maxey LONG,1900 Paris,Athletics,Men's,400m
Summer,1900,Silver,USA,United States,William HOLLAND,1900 Paris,Athletics,Men's,400m
Summer,1900,Bronze,DEN,Denmark,Ernst SCHULTZ,1900 Paris,Athletics,Men's,400m
Summer,1900,Gold,GBR,Great Britain,Alfred TYSOE,1900 Paris,Athletics,Men's,800m
Summer,1900,Silver,USA,United States,John CREGAN,1900 Paris,Athletics,Men's,800m
Summer,1900,Bronze,USA,United States,David HALL,1900 Paris,Athletics,Men's,800m
Summer,1900,Gold,GBR,Great Britain,Charles BENNETT,1900 Paris,Athletics,Men's,1500m
Summer,1900,Silver,FRA,France,Henri DELOGE,1900 Paris,Athletics,Men's,1500m
Summer,1900,Bronze,USA,United States,John BRAY,1900 Paris,Athletics,Men's,1500m
Summer,1900,Gold,LUX,Luxembourg,Michel THEATO,1900 Paris,Athletics,Men's,marathon
Summer,1900,Silver,FRA,France,Emile CHAMPION,1900 Paris,Athletics,Men's,marathon
Summer,1900,Bronze,SWE,Sweden,Ernst FAST,1900 Paris,Athletics,Men's,marathon
Summer,1900,Gold,USA,United States,Alvin KRAENZLEIN,1900 Paris,Athletics,Men's,110m hurdles
Summer,1900,Silver,USA,United States,John MCLEAN,1900 Paris,Athletics,Men's,110m hurdles
Summer,1900,Bronze,USA,United States,Frederick MOLONEY,1900 Paris,Athletics,Men's,110m hurdles
Summer,1900,Gold,USA,United States,Alvin KRAENZLEIN,1900 Paris,Athletics,Men's,200m hurdles
Summer,1900,Silver,IND,India,Norman PRITCHARD,1900 Paris,Athletics,Men's,200m hurdles
Summer,1900,Bronze,USA,United States,Walter B. John TEWKSBURY,1900 Paris,Athletics,Men's,200m hurdles
Summer,1900,Gold,USA,United States,Walter B. John TEWKSBURY,1900 Paris,Athletics,Men's,400m hurdles
Summer,1900,Silver,FRA,France,Henri TAUZIN,1900 Paris,Athletics,Men's,400m hurdles
Summer,1900,Bronze,CAN,Canada,George ORTON,1900 Paris,Athletics,Men's,400m hurdles
Summer,1900,Gold,CAN,Canada,George ORTON,1900 Paris,Athletics,Men's,2500m steeplechase
Summer,1900,Silver,GBR,Great Britain,Sidney ROBINSON,1900 Paris,Athletics,Men's,2500m steeplechase
Summer,1900,Bronze,FRA,France,Jacques CHASTANIE,1900 Paris,Athletics,Men's,2500m steeplechase
Summer,1900,Gold,GBR,Great Britain,John RIMMER,1900 Paris,Athletics,Men's,4000m steeplechase
Summer,1900,Silver,GBR,Great Britain,Charles BENNETT,1900 Paris,Athletics,Men's,4000m steeplechase
Summer,1900,Bronze,GBR,Great Britain,Sidney ROBINSON,1900 Paris,Athletics,Men's,4000m steeplechase
Summer,1900,Gold,GBR,Great Britain,"John RIMMER (GBR), Alfred TYSOE (GBR), Charles BENNETT (GBR), Sidney ROBINSON (GBR), Stanley ROWLEY (AUS)",1900 Paris,Athletics,Men's,5000m team
Summer,1900,Silver,FRA,France,"Henri DELOGE, Jacques CHASTANIE, Michel CHAMPOUDRY, Gaston RAGUENEAU, André CASTANET",1900 Paris,Athletics,Men's,5000m team
Summer,1900,Gold,USA,United States,Alvin KRAENZLEIN,1900 Paris,Athletics,Men's,long jump
Summer,1900,Silver,USA,United States,Meyer PRINSTEIN,1900 Paris,Athletics,Men's,long jump
Summer,1900,Bronze,GBR,Great Britain,Patrick Joseph LEAHY,1900 Paris,Athletics,Men's,long jump
Summer,1900,Gold,USA,United States,Ray EWRY,1900 Paris,Athletics,Men's,"long jump, standing"
Summer,1900,Silver,USA,United States,Irving BAXTER,1900 Paris,Athletics,Men's,"long jump, standing"
Summer,1900,Bronze,FRA,France,Emile TORCHEBOEUF,1900 Paris,Athletics,Men's,"long jump, standing"
Summer,1900,Gold,USA,United States,Meyer PRINSTEIN,1900 Paris,Athletics,Men's,triple jump
Summer,1900,Silver,USA,United States,James CONNOLLY,1900 Paris,Athletics,Men's,triple jump
Summer,1900,Bronze,USA,United States,Lewis Pendleton SHELDON,1900 Paris,Athletics,Men's,triple jump
Summer,1900,Gold,USA,United States,Ray EWRY,1900 Paris,Athletics,Men's,"triple jump, standing"
Summer,1900,Silver,USA,United States,Irving BAXTER,1900 Paris,Athletics,Men's,"triple jump, standing"
Summer,1900,Bronze,USA,United States,Robert GARRETT,1900 Paris,Athletics,Men's,"triple jump, standing"
Summer,1900,Gold,USA,United States,Irving BAXTER,1900 Paris,Athletics,Men's,high jump
Summer,1900,Silver,GBR,Great Britain,Patrick Joseph LEAHY,1900 Paris,Athletics,Men's,high jump
Summer,1900,Bronze,HUN,Hungary,Lajos GÖNCZY,1900 Paris,Athletics,Men's,high jump
Summer,1900,Gold,USA,United States,Ray EWRY,1900 Paris,Athletics,Men's,"high jump, standing"
Summer,1900,Silver,USA,United States,Irving BAXTER,1900 Paris,Athletics,Men's,"high jump, standing"
Summer,1900,Bronze,USA,United States,Lewis Pendleton SHELDON,1900 Paris,Athletics,Men's,"high jump, standing"
Summer,1900,Gold,USA,United States,Irving BAXTER,1900 Paris,Athletics,Men's,pole vault
Summer,1900,Silver,USA,United States,Meredith Bright COLKETT,1900 Paris,Athletics,Men's,pole vault
Summer,1900,Bronze,NOR,Norway,Carl Albert ANDERSEN,1900 Paris,Athletics,Men's,pole vault
Summer,1900,Gold,USA,United States,Richard SHELDON,1900 Paris,Athletics,Men's,shot put
Summer,1900,Silver,USA,United States,Josiah MCCRACKEN,1900 Paris,Athletics,Men's,shot put
Summer,1900,Bronze,USA,United States,Robert GARRETT,1900 Paris,Athletics,Men's,shot put
Summer,1900,Gold,HUN,Hungary,Rudolf BAUER,1900 Paris,Athletics,Men's,discus throw
Summer,1900,Silver,BOH,Bohemia,Frantisek JANDA,1900 Paris,Athletics,Men's,discus throw
Summer,1900,Bronze,USA,United States,Richard SHELDON,1900 Paris,Athletics,Men's,discus throw
Summer,1900,Gold,USA,United States,John Jesus FLANAGAN,1900 Paris,Athletics,Men's,hammer throw
Summer,1900,Silver,USA,United States,Thomas Truxton HARE,1900 Paris,Athletics,Men's,hammer throw
Summer,1900,Bronze,USA,United States,Josiah MCCRACKEN,1900 Paris,Athletics,Men's,hammer throw
Summer,1900,Gold,FRA,France,Georges TAILLANDIER,1900 Paris,Cycling Track,Men's,sprint individual
Summer,1900,Silver,FRA,France,Fernand SANZ,1900 Paris,Cycling Track,Men's,sprint individual
Summer,1900,Bronze,USA,United States,John Henry LAKE,1900 Paris,Cycling Track,Men's,sprint individual
Summer,1900,Gold,FRA,France,Louis BASTIEN,1900 Paris,Cycling Track,Men's,25 kilometres
Summer,1900,Silver,FRA,France,Louis HILDEBRAND,1900 Paris,Cycling Track,Men's,25 kilometres
Summer,1900,Bronze,FRA,France,DAUMAIN,1900 Paris,Cycling Track,Men's,25 kilometres
Summer,1900,Gold,ITA,Italy,Enrico Brusoni,1900 Paris,Cycling Track,Men's,points race
Summer,1900,Silver,GER,Germany,Karl Duill,1900 Paris,Cycling Track,Men's,points race
Summer,1900,Bronze,FRA,France,Louis Trousselier,1900 Paris,Cycling Track,Men's,points race
Summer,1900,Gold,BEL,Belgium,"Aimé HAEGEMAN, BENTON II",1900 Paris,Equestrian Jumping,Mixed,individual
Summer,1900,Silver,BEL,Belgium,"Georges VAN DE POELE, WINDSOR SQUIRE",1900 Paris,Equestrian Jumping,Mixed,individual
Summer,1900,Bronze,FRA,France,"Louis DE CHAMPSAVIN, TERPSICHORE",1900 Paris,Equestrian Jumping,Mixed,individual
Summer,1900,Gold,FRA,France,"Dominique Maximien GARDERES, CANELA",1900 Paris,Equestrian Jumping,Mixed,high jump individual
Summer,1900,Gold,ITA,Italy,"Gian Giorgio TRISSINO, ORESTE",1900 Paris,Equestrian Jumping,Mixed,high jump individual
Summer,1900,Bronze,BEL,Belgium,"Georges VAN DE POELE, LUDLOW",1900 Paris,Equestrian Jumping,Mixed,high jump individual
Summer,1900,Gold,BEL,Belgium,"Constant VAN LANGHENDONCK, EXTRA DRY",1900 Paris,Equestrian Jumping,Mixed,long jump individual
Summer,1900,Silver,ITA,Italy,"Gian Giorgio TRISSINO, ORESTE",1900 Paris,Equestrian Jumping,Mixed,long jump individual
Summer,1900,Bronze,FRA,France,"Jacques de Prunelé, TOLLA",1900 Paris,Equestrian Jumping,Mixed,long jump individual
Summer,1900,Gold,FRA,France,Louis Napoléon Murat,1900 Paris,Equestrian Jumping,Mixed,Hacks and Hunter Combined
Summer,1900,Silver,FRA,France,Victor Archenoul,1900 Paris,Equestrian Jumping,Mixed,Hacks and Hunter Combined
Summer,1900,Bronze,FRA,France,Robert de Montesquiou-Fézensac,1900 Paris,Equestrian Jumping,Mixed,Hacks and Hunter Combined
Summer,1900,Gold,BEL,Belgium,Georges Nagelmackers,1900 Paris,Equestrian Jumping,Mixed,Four-in-Hand Mail Coach
Summer,1900,Silver,FRA,France,Léon Thome,1900 Paris,Equestrian Jumping,Mixed,Four-in-Hand Mail Coach
Summer,1900,Bronze,FRA,France,Jean de Neuflize,1900 Paris,Equestrian Jumping,Mixed,Four-in-Hand Mail Coach
Summer,1900,Gold,CUB,Cuba,Ramon FONST,1900 Paris,Fencing,Men's,épée individual
Summer,1900,Silver,FRA,France,Louis PERREE,1900 Paris,Fencing,Men's,épée individual
Summer,1900,Bronze,FRA,France,Léon SEE,1900 Paris,Fencing,Men's,épée individual
Summer,1900,Gold,FRA,France,Albert AYAT,1900 Paris,Fencing,Men's,"épée, amateurs and masters"
Summer,1900,Silver,CUB,Cuba,Ramon FONST,1900 Paris,Fencing,Men's,"épée, amateurs and masters"
Summer,1900,Bronze,FRA,France,Léon SEE,1900 Paris,Fencing,Men's,"épée, amateurs and masters"
Summer,1900,Gold,FRA,France,Albert AYAT,1900 Paris,Fencing,Men's,"épée, masters"
Summer,1900,Silver,FRA,France,Emile BOUGNOL,1900 Paris,Fencing,Men's,"épée, masters"
Summer,1900,Bronze,FRA,France,Henri LAURENT,1900 Paris,Fencing,Men's,"épée, masters"
Summer,1900,Gold,FRA,France,Emile COSTE,1900 Paris,Fencing,Men's,foil individual
Summer,1900,Silver,FRA,France,Henri MASSON,1900 Paris,Fencing,Men's,foil individual
Summer,1900,Bronze,FRA,France,Marcel Jacques BOULENGER,1900 Paris,Fencing,Men's,foil individual
Summer,1900,Gold,FRA,France,Lucien MERIGNAC,1900 Paris,Fencing,Men's,"foil, masters"
Summer,1900,Silver,FRA,France,Alphonse KIRCHHOFFER,1900 Paris,Fencing,Men's,"foil, masters"
Summer,1900,Bronze,FRA,France,Jean-Baptiste MIMIAGUE,1900 Paris,Fencing,Men's,"foil, masters"
